weight,date
109.8,10/17/2020
111.8,11/15/2020
112.4,11/25/2020
112.8,12/02/2020
113.2,12/20/2020
114.8,01/12/2021
116.2,01/21/2021
116,02/08/2021
114.4,02/21/2021
116.4,03/02/2021
115.6,03/12/2021
117.2,04/16/2021
115,04/27/2021
116.4,05/05/2021
115.4,05/12/2021
111.6,06/04/2021
112.8,07/10/2021
114,07/17/2021
112.2,07/24/2021
113.4,08/03/2021
113.2,08/07/2021
113.2,08/14/2021
115.4,08/21/2021
112.2,08/28/2021
114.4,09/04/2021
114.4,09/11/2021
115,09/18/2021
117.2,09/25/2021
117,10/02/2021
117.2,10/10/2021
117.2,10/16/2021
118.6,10/23/2021
118.4,10/30/2021
119.4,11/6/2021
119,11/13/2021
119.4,11/20/2021
120,11/27/2021
120.4,12/05/2021
121,12/11/2021
122.4,12/18/2021
123.6,12/25/2021
122,01/01/2022
123.8,01/08/2022
124.6,01/15/2022
125,01/22/2022
124.2,01/29/2022
126.2,02/05/2022
127.4,02/13/2022
127.1,02/19/2022
128.3,02/26/2022
129.1,03/06/2022
129,03/12/2022
130.2,03/19/2022
130.3,03/26/2022
130,04/03/2022
131,04/09/2022
131.4,04/16/2022
131.7,04/24/2022
132.4,05/01/2022
131,05/07/2022
132.4,05/14/2022
131.6,05/21/2022
132.9,05/28/2022
132.4,06/04/2022
131.8,06/11/2022
132.1,06/18/2022
129.7,06/26/2022
130.2,07/02/0202
131.1,07/09/2022
130,07/23/2022
131,07/30/2022
128.7,08/06/2022
128.9,08/13/2022
130.2,08/20/2022
131,08/28/2022
130.8,09/18/2022
132.5,09/24/2022
132.4,10/08/2022
132.8,10/15/2022
133.8,10/22/2022
134,10/30/2022
135.5,11/05/2022
134.5,11/12/2022
134.1,11/19/2022
133.6,11/27/2022
134.6,12/10/2022
133.6,12/17/2022
133.8,12/24/2022
133.3,12/31/2022
135.6,01/07/2023
134.5,01/14/2023
135.5,01/21/2023
135.9,01/28/2023
136.6,02/04/2023
136.8,02/11/2023
135.6,02/21/2023
136.4,02/25/2023
138.6,03/04/2023
138.3,03/11/2023
138.3,03/18/2023
138.9,03/25/2023
138.8,04/01/2023
139.2,04/08/2023
141,04/15/2023
140.7,04/22/2023
140.4,04/29/2023
140.2,05/07/2023
139.3,05/13/2023
138.3,05/20/2023
137,05/27/2023
138.7,06/03/2023
139.2,06/10/2023
140.1,06/17/2023
140.5,06/24/2023
141.9,07/01/2023
141.4,07/08/2023
142.9,07/16/2023
144,07/22/2023
140.9,07/29/2023
142.4,08/05/2023
142.9,08/12/2023
142.4,08/20/2023
142.4,08/26/2023
141.8,09/02/2023
139.9,09/09/2023
140.4,09/16/2023
137.3,09/30/2023
136.7,10/07/2023
135.3,10/08/2023
135.8,10/09/2023
136.2,10/10/2023
135.6,10/11/2023
135.2,10/12/2023
135.9,10/13/2023
134.9,10/14/2023
135.3,10/15/2023
134.1,10/16/2023
134.6,10/17/2023
134.3,10/18/2023
134.7,10/19/2023
133.9,10/20/2023
133.8,10/21/2023
134.3,10/22/2023
134.5,10/23/2023
135.7,10/25/2023
135,10/26/2023
134,10/27/2023
132.7,10/29/2023
133.7,10/31/2023
133.6,11/01/2023
132.7,11/02/2023
131.7,11/03/2023
131.2,11/06/2023
132.8,11/07/2023
131.6,11/08/2023
131.9,11/09/2023
132.1,11/10/2023
129,12/02/2023
128.8,12/03/2023
129.3,12/05/2023
129,12/07/2023
129.3,12/08/2023
129,12/10/2023
128.5,12/12/2023
128,12/20/2023
108.6,02/11/2024
109.3,02/14/2024
112,02/29/2024
106.7,03/11/2024
106.7,03/17/2024
108.6,03/20/2024
110.7,03/23/2024
110.3,03/26/2024
112.2,03/27/2024
111.3,03/30/2024
113,04/03/2024
114.5,04/06/2024
115.3,04/08/2024
116.2,04/11/2024
116.2,04/15/2024
117.2,04/17/2024
116.6,04/21/2024
117.6,04/23/2024
119.2,04/26/2024
119.4,04/27/2024
119.9,04/30/2024
120.9,05/02/2024
121.9,05/05/2024
124.6,05/10/2024
125,05/12/2024
125.6,05/14/2024
126.2,05/19/2024
126.8,05/22/2024
126.9,05/25/2024
128.3,05/28/2024
129.3,05/30/2024
128.6,06/02/2024
129.4,06/04/2024
130.1,06/08/2024
130.5,06/14/2024
131,06/16/2024
131.6,06/21/2024
131.3,06/24/2024
133.6,06/27/2024
134.3,07/03/2024
135.5,07/08/2024
136,07/11/2024
135.7,07/14/2024
136,07/16/2024
136.6,07/18/2024
135.6,07/20/2024
136.9,07/23/2024
137.1,07/27/2024
137.7,07/29/2024
137.3,07/31/2024
138.2,08/02/2024
137.1,08/06/2024
137,08/08/2024
137.6,08/11/2024
138.1,08/16/2024
138.2,08/18/2024
138.8,08/20/2024
139.3,08/22/2024
140.3,08/24/2024
139.8,09/03/2024
138.7,09/05/2024
138.6,09/08/2024
139.8,09/10/2024
140.7,09/12/2024
140.1,09/18/2024
142,09/20/2024
140.5,09/22/2024
142.5,09/24/2024